2020-12-12 01:36:25+07, done short break
2020-12-12 01:36:29+07, done pomodoro
2020-12-12 01:36:33+07, done short break
2020-12-12 01:36:35+07, done pomodoro
2020-12-12 01:36:37+07, done pomodoro
2020-12-12 01:36:39+07, done short break
2020-12-12 01:36:41+07, done short break
2020-12-12 01:36:43+07, done pomodoro
2020-12-12 01:36:45+07, done pomodoro
2020-12-12 01:36:47+07, done short break
2020-12-12 01:36:50+07, done long break
2020-12-12 01:36:51+07, done pomodoro
2020-12-12 01:36:54+07, done pomodoro
2020-12-12 01:36:55+07, done short break
2020-12-12 01:36:58+07, done short break
2020-12-12 01:36:59+07, done pomodoro
2020-12-12 01:37:02+07, done pomodoro
2020-12-12 01:37:04+07, done long break
2020-12-12 01:37:06+07, done short break
2020-12-12 01:37:08+07, done pomodoro
2020-12-12 01:37:10+07, done pomodoro
2020-12-12 01:37:12+07, done short break
2020-12-12 01:37:14+07, done short break
2020-12-12 01:37:16+07, done pomodoro
2020-12-12 01:37:18+07, done pomodoro
2020-12-12 01:37:20+07, done short break
2020-12-12 01:37:23+07, done long break
2020-12-12 01:37:24+07, done pomodoro
2020-12-12 01:37:27+07, done pomodoro
2020-12-12 01:37:28+07, done short break
2020-12-12 01:37:31+07, done short break
2020-12-12 01:37:33+07, done pomodoro
2020-12-12 01:37:35+07, done pomodoro
2020-12-12 01:37:38+07, done long break
2020-12-12 01:37:39+07, done short break
2020-12-12 01:37:42+07, done pomodoro
2020-12-12 01:37:44+07, done pomodoro
2020-12-12 01:37:46+07, done short break
2020-12-12 01:37:48+07, done short break
2020-12-12 01:37:50+07, done pomodoro
2020-12-12 01:37:52+07, done pomodoro
2020-12-12 01:37:54+07, done short break
2020-12-12 01:37:57+07, done long break
2020-12-12 01:37:58+07, done pomodoro
2020-12-12 01:38:01+07, done pomodoro
2020-12-12 01:38:02+07, done short break
2020-12-12 01:38:05+07, done short break
2020-12-12 01:38:06+07, done pomodoro
2020-12-12 01:38:09+07, done pomodoro
2020-12-12 01:38:11+07, done long break
2020-12-12 01:38:13+07, done short break
2020-12-12 01:38:15+07, done pomodoro
2020-12-12 01:38:17+07, done pomodoro
2020-12-12 01:38:19+07, done short break
2020-12-12 01:38:21+07, done short break
2020-12-12 01:38:23+07, done pomodoro
2020-12-12 01:38:25+07, done pomodoro
2020-12-12 01:38:27+07, done short break
2020-12-12 01:38:30+07, done long break
2020-12-12 01:38:31+07, done pomodoro
2020-12-12 01:38:34+07, done pomodoro
2020-12-12 01:38:35+07, done short break
2020-12-12 01:38:38+07, done short break
2020-12-12 01:38:39+07, done pomodoro
2020-12-12 01:38:42+07, done pomodoro
2020-12-12 01:38:44+07, done long break
2020-12-12 01:38:46+07, done short break
2020-12-12 01:38:48+07, done pomodoro
